CampaignYear,Month,Url,Subcategory,FbConnection,BackedProj,CreatedProj,CDescLength,Location,BackersNum,UpdatesNum,CommentsNum,TitleLength,Goal,Plaged,Duration,RewardsNum,MinPledgeTiers,MaxPledgeTiers,CharactersNum,PucturesNum,VideosNum,HasVideo,Success
2016,Apr,https://www.kickstarter.com/projects/mischaa/pixelstart-choose-your-own-pixels?ref=category_ending_soon,21,1,11,2,125,zeeland-north-brabant-nl,6,0,0,57,2829.59,40.75,53,7,1.14,171,2001,2,1,1,0
2016,Apr,https://www.kickstarter.com/projects/1055874454/smart-shop-icons?ref=category_ending_soon,21,1,0,0,111,namur-namur-namur,0,0,0,27,28295.87,0,51,3,1.14,46,2508,0,0,0,0
2016,Apr,https://www.kickstarter.com/projects/minimalprints/minimal-haus-prints-digital-prints-for-diy-wall-ar?ref=category_ending_soon,21,0,4,0,294,bundaberg-central-bundaberg-au,12,0,1,52,766.25,113.41,30,8,1.51,755,2325,1,1,1,0
2016,Mar,https://www.kickstarter.com/projects/797661619/neon-altering-the-alternative?ref=category_ending_soon,21,0,0,0,179,wiltshire-gb,6,2,0,41,1439.1,706.6,24,5,7,141,3736,13,1,1,0
2016,Mar,https://www.kickstarter.com/projects/1983693599/nintendo-nes-8bit-retro-canvas?ref=category_ending_soon,21,0,0,0,51,new-york-ny,2,0,0,41,1000,25,30,2,5,20,636,0,0,0,0
2016,Mar,https://www.kickstarter.com/projects/463662725/day-and-night-cards?ref=category_ending_soon,21,0,0,0,162,hastings-hudson-ny,0,0,0,30,800,0,28,1,10,10,1199,0,0,0,0
2016,Feb,https://www.kickstarter.com/projects/jforwoodart/fund-an-art-show-and-beyond-for-jeff-forwood?ref=category_ending_soon,21,1,2,0,110,san-diego-ca,3,0,2,55,2000,103,50,9,5,500,2384,11,0,0,0
2016,Mar,https://www.kickstarter.com/projects/109608826/trump-that-t-are-hilarious-creative-and-beautiful?ref=category_ending_soon,21,1,1,0,12,ann-arbor-mi,0,0,0,58,1000,0,30,3,1,30,1603,1,1,1,0
2016,Apr,https://www.kickstarter.com/projects/cowgirlem/once-upon-a-picture?ref=category_ending_soon,22,1,4,0,285,shropshire-gb,34,10,7,19,1079.32,1459.24,30,16,7,157,2397,9,1,1,1
2016,Apr,https://www.kickstarter.com/projects/10642514/under-the-hood-an-art-book-by-sean-gordon-murphy?ref=category_ending_soon,22,1,12,8,55,springfield-union-nj,95,7,42,49,10000,76354,30,19,5,8000,1307,13,1,1,1
2016,Mar,https://www.kickstarter.com/projects/1108038598/kokoro?ref=category_ending_soon,22,0,0,0,637,paris-fr,100,13,5,6,792.28,4171.94,45,5,6,113,3300,23,0,0,1
2016,Apr,https://www.kickstarter.com/projects/wizardsandunicorns/draw-cool-sh-t-sketchbook-of-graeme-mccormack-vol?ref=category_ending_soon,22,1,0,0,317,vancouver-ca,85,6,5,52,996.12,2335.53,21,4,0.77,77,2677,6,1,1,1
2016,Mar,https://www.kickstarter.com/projects/952405642/elleforthecompany-prints-to-support-our-move?ref=category_ending_soon,22,0,0,0,204,new-york-ny,19,1,1,45,2000,2570,30,14,10,10000,864,10,0,0,1
2016,Mar,https://www.kickstarter.com/projects/pythontear/pt-apparel?ref=category_ending_soon,22,1,0,0,337,edison-nj,14,7,1,10,600,650,45,6,5,100,1449,3,0,0,1
